Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25019,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Simon Winchester,"Winchester, Simon",,"=""0060839783""","=""9780060839789""",0,Harper Perennial,Paperback,242,2005,1998,,2017/05/03,to-read,to-read (#64),to-read,,,,0,0
159210,How the Scots Invented the Modern World: The True Story of How Western Europe’s Poorest Nation Created our World & Everything in It,Arthur Herman,"Herman, Arthur",,"=""0609809997""","=""9780609809990""",0,Broadway Books,Paperback,472,2001,2001,,2017/05/03,to-read,to-read (#63),to-read,,,,0,0
16280156,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0345342968""","=""9780345342966""",0,Del Rey / Ballantine Books,Mass Market Paperback,190,2003,1953,,2012/12/26,,,read,,,,1,0
827,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,"Stephenson, Neal",,"=""0553380966""","=""9780553380965""",5,Spectra,Paperback,499,2000,1995,2016/08/15,2012/12/26,,,read,,,,1,0
25972177,"The Waking Fire (The Draconis Memoria, #1)",Anthony Ryan,"Ryan, Anthony",,"=""0356506398""","=""9780356506395""",0,Orbit,Hardcover,592,2016,2016,,2016/08/09,to-read,to-read (#62),to-read,,,,0,0
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",5,William Morrow Paperbacks,Mass Market Paperback,491,2006,1990,2016/07/18,2016/06/22,,,read,,,,1,0
18769946,Cook,Rob Mundle,"Mundle, Rob",,"=""073333234X""","=""9780733332340""",4,ABC Books,Hardcover,512,2013,2013,2016/07/18,2016/03/16,,,read,,,,1,0
13147230,"The Long Earth (The Long Earth, #1)",Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""0062067753""","=""9780062067753""",3,HarperCollins Harper,Hardcover,336,2012,2012,2016/06/22,2016/06/01,,,read,,,,1,0
34494,"The Wee Free Men (Discworld, #30; Tiffany Aching, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060012382""","=""9780060012380""",0,HarperTrophy,Mass Market Paperback,375,2004,2003,,2012/12/26,to-read,to-read (#61),to-read,,,,0,0
321173,The Civilization of the Middle Ages,Norman F. Cantor,"Cantor, Norman F.",,"=""0060925531""","=""9780060925536""",0,Harper Perennial,Paperback,624,1994,1963,,2013/09/24,to-read,to-read (#60),to-read,,,,0,0
5940939,"The Forever War (The Forever War, #1)",Joe Haldeman,"Haldeman, Joe",,"=""0312536631""","=""9780312536633""",0,St. Martin's Griffin,Paperback,265,2009,1974,,2012/12/26,to-read,to-read (#8),to-read,,,,0,0
17862,"Toast, and Other Stories",Charles Stross,"Stross, Charles",,"=""0809556030""","=""9780809556038""",0,Cosmos Books (OH),Paperback,248,2005,2002,,2015/07/15,to-read,to-read (#59),to-read,,,,0,0
13665175,"The Mongoliad: Book Two (Foreworld, #2)",Neal Stephenson,"Stephenson, Neal","Erik Bear, Greg Bear, Joseph Brassey, Nicole Galland, Cooper Moo, Mark Teppo, Mike Grell","=""1612187455""","=""9781612187457""",5,47North,Kindle Edition,464,2012,2012,,2013/03/15,,,read,,,,1,0
16059493,"The Mongoliad: Book Three (Foreworld, #3)",Neal Stephenson,"Stephenson, Neal","Greg Bear, Mark Teppo, Nicole Galland, Erik Bear, Joseph Brassey, Cooper Moo, Mike Grell","=""""","=""""",5,47North,ebook,804,2013,2013,2013/04/01,2013/03/15,,,read,,,,1,0
330947,"The Gates of Rome (Emperor, #1)",Conn Iggulden,"Iggulden, Conn",,"=""0440240948""","=""9780440240945""",0,Dell Books,Mass Market Paperback,452,2004,2003,,2015/07/15,to-read,to-read (#58),to-read,,,,0,0
1279686,"Genghis: Birth of an Empire (Conqueror, #1)",Conn Iggulden,"Iggulden, Conn",,"=""0440243904""","=""9780440243908""",0,Dell,Mass Market Paperback,528,2008,2007,,2015/07/15,to-read,to-read (#57),to-read,,,,0,0
386371,"Monstrous Regiment (Discworld, #31)",Terry Pratchett,"Pratchett, Terry",,"=""0060013168""","=""9780060013165""",0,HarperCollins Publishers,Mass Market Paperback,389,2004,2003,,2012/12/26,to-read,to-read (#28),to-read,,,,0,0
234489,"The Uplift War (The Uplift Saga, #3)",David Brin,"Brin, David",,"=""0553279718""","=""9780553279719""",3,Spectra,Mass Market Paperback,638,1995,1987,2013/12/18,2013/11/05,,,read,,,,1,0
354038,The Last Days of the Incas,Kim MacQuarrie,"MacQuarrie, Kim",,"=""074326049X""","=""9780743260497""",3,Simon & Schuster,Hardcover,522,2007,2007,2013/11/05,2013/09/24,,,read,,,,1,0
60545,Out of Your Mind,Alan W. Watts,"Watts, Alan W.",,"=""1591791650""","=""9781591791652""",3,Sounds True,Audio CD,192,2004,1998,2013/11/05,2013/10/30,,,read,,,,1,0
81992,"Singularity Sky (Eschaton, #1)",Charles Stross,"Stross, Charles",,"=""1841493341""","=""9781841493343""",4,Orbit,Mass Market Paperback,389,2005,2003,2013/10/30,2013/09/24,,,read,,,,1,0
2715,Salt: A World History,Mark Kurlansky,"Kurlansky, Mark",,"=""0142001619""","=""9780142001615""",5,Penguin Books,Paperback,484,2003,2002,2013/10/21,2013/09/24,,,read,,,,1,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",3,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,2013/10/21,2013/01/06,,,read,,,,1,0
6469386,The Geek Atlas: 128 Places Where Science and Technology Come Alive,John Graham-Cumming,"Graham-Cumming, John",,"=""0596523203""","=""9780596523206""",0,O'Reilly Media,Paperback,542,2009,2009,,2013/09/30,to-read,to-read (#56),to-read,,,,0,0
17368340,"The Petrovitch Trilogy (Samuil Petrovitch, #1-3)",Simon Morden,"Morden, Simon",,"=""0316242594""","=""9780316242592""",0,Orbit,Kindle Edition,1152,2013,2013,,2013/09/24,to-read,to-read (#55),to-read,,,,0,0
